dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
RotatedMNIST,oracle_qhat_selected_by_inferred_context,0,3000,0.892,0.008000000000000007,0.9046666666666666,0.1507777777777778,1.0,0.09533333333333334,0.9046666666666666,0.09533333333333338,0.9859985261606485,0.012666666666666666,0.9666666666666667,1.0
RotatedMNIST,oracle_qhat_selected_by_inferred_context,1,3000,0.918,0.0,0.932,0.15533333333333332,1.0,0.068,0.932,0.06799999999999995,0.9849785407725322,0.014,0.9646666666666667,1.0
RotatedMNIST,oracle_qhat_selected_by_inferred_context,2,3000,0.9013333333333333,0.0,0.913,0.15216666666666667,1.0,0.087,0.913,0.08699999999999997,0.9872216137276378,0.011666666666666667,0.9696666666666667,1.0
RotatedMNIST,oracle_qhat_selected_by_inferred_context,3,3000,0.9073333333333333,0.0,0.9196666666666666,0.1532777777777778,1.0,0.08033333333333334,0.9196666666666666,0.08033333333333337,0.9865893439652048,0.012333333333333333,0.9686666666666667,1.0
RotatedMNIST,oracle_qhat_selected_by_inferred_context,4,3000,0.885,0.015000000000000013,0.8966666666666666,0.14944444444444444,1.0,0.10333333333333333,0.8966666666666666,0.10333333333333339,0.9869888475836431,0.011666666666666667,0.97,1.0
SplitCIFAR10,global_seed,0,3000,0.8946666666666667,0.005333333333333301,0.964,0.09639999999999997,1.0,0.036,0.964,0.03600000000000003,0.9280774550484094,0.06933333333333333,0.9136666666666666,1.0
SplitCIFAR10,global_seed,1,3000,0.9173333333333333,0.0,1.0023333333333333,0.10023333333333333,1.0,0.004,0.9896666666666667,0.010333333333333306,0.920511956887841,0.07866666666666666,0.9163333333333333,1.0
SplitCIFAR10,global_seed,2,3000,0.916,0.0,1.0163333333333333,0.10163333333333333,1.0,0.013,0.9576666666666667,0.042333333333333334,0.9265576052906369,0.07033333333333333,0.909,1.0
SplitCIFAR10,global_seed,3,3000,0.8933333333333333,0.00666666666666671,0.9546666666666667,0.09546666666666666,1.0,0.04533333333333334,0.9546666666666667,0.04533333333333334,0.9357541899441341,0.06133333333333333,0.9193333333333333,1.0
SplitCIFAR10,global_seed,4,3000,0.8926666666666667,0.007333333333333303,0.96,0.096,1.0,0.041,0.958,0.04200000000000004,0.9307585247042449,0.06633333333333333,0.9143333333333333,1.0
SplitCIFAR10,stale_t0_seed,0,3000,0.8573333333333333,0.04266666666666674,0.9046666666666666,0.09046666666666665,1.0,0.09533333333333334,0.9046666666666666,0.09533333333333338,0.9476787030213707,0.04733333333333333,0.9136666666666666,1.0
SplitCIFAR10,stale_t0_seed,1,3000,0.845,0.05500000000000005,0.892,0.08919999999999999,1.0,0.108,0.892,0.10799999999999998,0.9473094170403588,0.047,0.9163333333333333,1.0
SplitCIFAR10,stale_t0_seed,2,3000,0.87,0.030000000000000027,0.9326666666666666,0.09326666666666666,1.0,0.06733333333333333,0.9326666666666666,0.06733333333333336,0.9328091493924232,0.06266666666666666,0.909,1.0
SplitCIFAR10,stale_t0_seed,3,3000,0.792,0.10799999999999998,0.8176666666666667,0.08176666666666665,1.0,0.18233333333333332,0.8176666666666667,0.18233333333333335,0.968609865470852,0.025666666666666667,0.9193333333333333,1.0
SplitCIFAR10,stale_t0_seed,4,3000,0.799,0.10099999999999998,0.828,0.0828,1.0,0.172,0.828,0.17200000000000004,0.964975845410628,0.029,0.9143333333333333,1.0
SplitCIFAR10,oracle_task,0,3000,0.9003333333333333,0.0,0.9876666666666667,0.09876666666666666,1.0,0.041666666666666664,0.9316666666666666,0.06833333333333336,0.9391771019677997,0.056666666666666664,0.9136666666666666,1.0
SplitCIFAR10,oracle_task,1,3000,0.912,0.0,1.0196666666666667,0.10196666666666666,1.0,0.04033333333333333,0.9023333333333333,0.09766666666666668,0.9479128186183967,0.047,0.9163333333333333,1.0
SplitCIFAR10,oracle_task,2,3000,0.9173333333333333,0.0,1.0403333333333333,0.10403333333333334,1.0,0.021333333333333333,0.9176666666666666,0.08233333333333337,0.9375227025063567,0.05733333333333333,0.909,1.0
SplitCIFAR10,oracle_task,3,3000,0.8983333333333333,0.0016666666666667052,0.9843333333333333,0.09843333333333333,1.0,0.05,0.9176666666666666,0.08233333333333337,0.9451507446422085,0.050333333333333334,0.9193333333333333,1.0
